,time,GPSx,GPSy,a,yaw,ax,ay
1,0.107,0.0,0.0,1.072743280388295,3.2877639784443184,-1.0613035240925046,-0.15624652113589776
2,0.205,0.0,0.0,0.9718142409050822,3.2877639784443184,-0.9614507939518572,-0.14154606895023453
3,0.309,0.0,0.0,1.1098466702915541,3.2877639784443184,-1.0980112426865132,-0.1616506804540849
4,0.411,0.0,0.0,1.1163602630714407,3.290218260438473,-1.1040529836732054,-0.1653095466306443
5,0.521,0.0,0.0,0.6425926078138947,3.2904910554005595,-0.6354823840534726,-0.09532785099212455
6,0.621,0.0,0.0,0.7309015528111055,3.2899456400093112,-0.7228732302860411,-0.10803412811472748
7,0.721,0.0,0.0,0.8329952936595331,3.2850369014880774,-0.8244400177456114,-0.1190790342526666
8,0.83,0.0,0.0,0.6049449807849004,3.298399665840121,-0.5975228812472516,-0.09447135101620188
9,0.933,0.0,0.0,1.5831723654650653,3.3136712967950714,-1.5597904424337472,-0.2710876508891276
10,1.036,38.7592155802995,-6.133056784281507,2.573491724144519,3.3349423225208277,-2.5255375684896144,-0.4944892763123341
11,1.135,38.7592155802995,-6.133056784281507,1.2230961812757206,3.317761824962971,-1.2041654699865187,-0.21435902020534867
12,1.239,38.7592155802995,-6.133056784281507,1.6867800420819548,3.3071263121000927,-1.6637227038990798,-0.2779454530959915
13,1.344,39.227346220985055,-7.1569507187232375,0.805176261013161,3.3011265682634376,-0.7949516755274817,-0.12790873650843143
14,1.447,39.227346220985055,-7.1569507187232375,2.1590971028883033,3.308489763311751,-2.129096396323369,-0.3586765044765402
15,1.554,39.227346220985055,-7.1569507187232375,0.7791387086570427,3.310126009485496,-0.7680997445087934,-0.13069012898184157
16,1.658,39.227346220985055,-7.1569507187232375,0.7957654702107331,3.314762127577568,-0.7838636822419941,-0.13711459164411013
17,1.759,39.227346220985055,-7.1569507187232375,0.8107679465505501,3.3234887738375396,-0.7973922721918499,-0.1466636539927813
18,1.864,39.227346220985055,-7.1569507187232375,1.7080409272755772,3.322125148092957,-1.6802822236781079,-0.3066846230898559
19,1.967,39.227346220985055,-7.1569507187232375,0.5704193828784421,3.309853214523409,-0.5623636683036044,-0.09552683882310947
20,2.072,39.227346220985055,-7.1569507187232375,0.6431074650462093,3.3068535171380065,-0.6343454308853844,-0.10579738140898076
21,2.169,39.227346220985055,-7.1569507187232375,2.5903099599768686,3.2981268708780345,-2.5586395752666173,-0.40381829160506205
22,2.274,39.227346220985055,-7.1569507187232375,0.9578637239250695,3.3087623837409126,-0.9445107688371452,-0.1593810564724253
23,2.382,41.81040436960757,-9.20817435788922,2.59870046509967,3.302762988970107,-2.5650217010068688,-0.4170225181846542
24,2.484,41.81040436960757,-9.20817435788922,0.6131188102031643,3.294036342710135,-0.6060084380576202,-0.0931045027262773
25,2.584,41.81040436960757,-9.20817435788922,0.9919700074118671,3.2962180042751283,-0.9801351106773846,-0.15277323202096274
26,2.687,41.81040436960757,-9.20817435788922,0.6680897482535427,3.2959452093130417,-0.6601470137627019,-0.10271237482245814
27,2.791,41.81040436960757,-9.20817435788922,1.4732635180851053,3.2989449066984444,-1.4550623147542052,-0.23086587860191848
28,2.894,41.81040436960757,-9.20817435788922,1.8634190499148064,3.299217701660531,-1.8403180052987225,-0.29250674344146604
29,3.003,41.81040436960757,-9.20817435788922,2.066251813009088,3.2962180042751283,-2.0415999821556507,-0.31822329836985347
30,3.108,41.81040436960757,-9.20817435788922,1.543834559826927,3.298399665840121,-1.5248931781531248,-0.24109322540889416
31,3.203,41.81040436960757,-9.20817435788922,0.4020200491355938,3.2975814554867866,-0.3971388810839625,-0.06245661725040442
32,3.31,47.370150700211525,-10.417605976806954,0.6624232125145011,3.310398804447582,-0.6530075572565823,-0.11129080215284273
33,3.414,47.370150700211525,-10.417605976806954,1.1014404137620462,3.300581327405114,-1.0875489384014583,-0.1743797340580851
34,3.517,47.370150700211525,-10.417605976806954,1.2750153072718,3.30576268635551,-1.2578718844946577,-0.2083803157096676
35,3.625,47.370150700211525,-10.417605976806954,1.6350874742242631,3.3087623837409126,-1.6122937833653201,-0.2720658091098965
36,3.725,47.370150700211525,-10.417605976806954,0.7488392713746562,3.32185235313087,-0.7367059527533361,-0.13425570204175855
37,3.827,47.370150700211525,-10.417605976806954,0.6655876945183975,3.276583050190192,-0.6595325927896614,-0.08957532105698714
38,3.934,47.370150700211525,-10.417605976806954,0.9293599231498856,3.282582444960998,-0.9201382495118091,-0.13059658702471935
39,4.035,47.370150700211525,-10.417605976806954,1.7506774575535353,3.28640052723266,-1.7323542517687294,-0.2526268132342969
40,4.14,47.370150700211525,-10.417605976806954,0.9979788706054588,3.2959452093130417,-0.9861141754542317,-0.15342965535765166
41,4.236,47.370150700211525,-10.417605976806954,0.8019261922501847,3.3016721581876105,-0.791673256118688,-0.1278243848540423
42,4.344,53.150062987580895,-10.98223644029349,1.1057610094643395,3.2724923474893677,-1.0963010707409369,-0.14433077407078038
43,4.445,53.150062987580895,-10.98223644029349,2.990451025794504,3.2694924755710404,-2.966024906765939,-0.38143622025117535
44,4.55,53.150062987580895,-10.98223644029349,1.3846861550669756,3.2888548092268146,-1.3696990182657025,-0.2031756565047477
45,4.654,53.150062987580895,-10.98223644029349,0.6461274281513508,3.3011265682634376,-0.6379225350817729,-0.1026425479239641
46,4.755,53.150062987580895,-10.98223644029349,1.7937777454428707,3.301399363225524,-1.7709215363333062,-0.28543915673395437
47,4.859,53.150062987580895,-10.98223644029349,0.6567909134417832,3.3049446505351,-0.6480475184271344,-0.10681159974518166
48,4.961,53.150062987580895,-10.98223644029349,0.8550090858146584,3.3046718555730132,-0.8436648517920212,-0.13881698266553977
49,5.062,53.150062987580895,-10.98223644029349,1.2312249802339292,3.312853086441737,-1.2132130712100322,-0.2098308742705911
50,5.165,53.150062987580895,-10.98223644029349,1.8652470871869518,3.317761824962971,-1.8363773591711785,-0.3269019592827442
51,5.265,53.150062987580895,-10.98223644029349,1.1795010254224538,3.322125148092957,-1.160332035479199,-0.21178346586388386
52,5.373,59.22908962704241,-11.517089219996706,1.3795594326721847,3.3073989325292543,-1.3606396049094474,-0.2276929815050585
