,time,GPSx,GPSy,a,omega,yaw
1,0.101,0.0,0.0,6.155453556736123,0.3520595,-1.6476998969608967
2,0.202,0.0,0.0,4.773376607111103,0.12929265,-1.6125206042253861
3,0.303,0.0,0.0,2.8084100682167663,0.02063889,-1.5773413114898753
4,0.406,0.0,0.0,2.5644900370145036,-0.37243208,-1.5448890957106058
5,0.511,0.0,0.0,3.1507083192934777,0.38188604,-1.5026194028888682
6,0.611,0.0,0.0,2.682306919450921,0.0920095,-1.4674401101533574
7,0.716,0.0,0.0,2.1950006138471596,0.13142313,-1.4333516482003432
8,0.816,0.0,0.0,1.1921850404624066,0.25938424,-1.3834461399011302
9,0.919,0.0,0.0,2.213012151137151,0.21038352,-1.356175370338719
10,1.025,0.0,0.0,6.356279972186019,0.23168819,-1.3171781698644707
11,1.126,-9.259026697953232,3.9765224524307996,6.383835261055374,-0.07097115,-1.2855440771720734
12,1.227,-9.259026697953232,3.9765224524307996,2.9294813564315323,0.024899822,-1.2484558305671938
13,1.33,-9.259026697953232,3.9765224524307996,6.934236164800659,-0.13808084,-1.210822168571066
14,1.435,-9.259026697953232,3.9765224524307996,4.948967848850006,0.2998631,-1.1808243220524135
15,1.532,-9.259026697953232,3.9765224524307996,1.8152900203244946,0.32968962,-1.1480993985775199
16,1.641,-9.259026697953232,3.9765224524307996,2.6469725903888937,0.24447098,-1.1153744751026262
17,1.742,-9.259026697953232,3.9765224524307996,2.3384297970519063,0.19746757,-1.0782862284977468
18,1.851,-9.259026697953232,3.9765224524307996,2.1392974617997407,0.25405806,-1.0436523511534843
19,1.96,-9.259026697953232,3.9765224524307996,3.916217772198626,0.4287563,-1.016654289286697
20,2.056,-9.259026697953232,3.9765224524307996,3.1975033601059053,0.39892977,-0.9814749965511863
21,2.155,-18.57456939353142,4.462194197578356,1.2979587853182997,0.4351477,-0.9561131808581437
22,2.255,-18.57456939353142,4.462194197578356,3.0195218090344205,0.17190199,-0.9195703496445123
23,2.356,-18.57456939353142,4.462194197578356,2.7977064743958038,0.17829338,-0.9012989340376968
24,2.459,-18.57456939353142,4.462194197578356,2.081601895379591,0.15592349,-0.8631198566503208
25,2.56,-18.57456939353142,4.462194197578356,3.185951095779105,0.18681525,-0.8407578256091435
26,2.668,-18.57456939353142,4.462194197578356,1.1734067995042499,0.23168819,-0.8047604097867604
27,2.769,-18.57456939353142,4.462194197578356,0.9998915383955869,0.21570969,-0.7785804710068455
28,2.87,-18.57456939353142,4.462194197578356,2.61375453567107,0.2806889,-0.7434011782713348
29,2.972,-18.57456939353142,4.462194197578356,2.1231674354953056,0.1697715,-0.7024950239277177
30,3.089,-27.952816338161938,3.6010557990521193,2.53249275289735,0.20399213,-0.6744061312784339
31,3.191,-27.952816338161938,3.6010557990521193,2.8890916044294404,0.21677493,-0.6337726846304409
32,3.29,-27.952816338161938,3.6010557990521193,2.7158399615161497,0.16124965,-0.6065019150680295
33,3.39,-27.952816338161938,3.6010557990521193,2.4240287695809406,0.28601506,-3.6308302595394535
34,3.493,-27.952816338161938,3.6010557990521193,2.2644555244006845,0.3477986,-3.6035594899770422
35,3.594,-27.952816338161938,3.6010557990521193,2.2207182979407922,0.2519276,-3.583379120500858
36,3.699,-27.952816338161938,3.6010557990521193,3.269644945101329,0.26044947,-3.550654197025964
37,3.801,-27.952816338161938,3.6010557990521193,3.264499990710752,0.22636202,-3.5293829967672834
38,3.905,-27.952816338161938,3.6010557990521193,2.1687953282588976,0.3062545,-3.4963852783303033
39,4.006,-27.952816338161938,3.6010557990521193,3.508196286267534,0.36271185,-3.463387734426248
40,4.114,-37.42824527469929,0.3639936491381377,3.39163972441803,0.20186166,-3.4407529084229838
41,4.217,-37.42824527469929,0.3639936491381377,2.0063047092788837,0.24021004,-3.405028287562687
42,4.321,-37.42824527469929,0.3639936491381377,4.097375346015947,0.30731973,-3.3731213999082037
43,4.421,-37.42824527469929,0.3639936491381377,2.945666417259654,0.16657582,-3.3491231226932814
44,4.523,-37.42824527469929,0.3639936491381377,1.6965420987712772,0.19320664,-3.3523956150407708
45,4.627,-37.42824527469929,0.3639936491381377,3.2858922410158997,0.30092832,-3.3114896352300787
46,4.729,-37.42824527469929,0.3639936491381377,1.736822890961888,0.2647104,-3.2891274296559763
47,4.836,-37.42824527469929,0.3639936491381377,2.423256382953634,0.33501577,-3.256402506181083
48,4.939,-37.42824527469929,0.3639936491381377,3.4974145484345507,0.31264588,-3.2345858905311538
49,5.051,-37.42824527469929,0.3639936491381377,6.230056843890322,0.11011846,-3.2007701362737637
50,5.149,-46.16867469775025,-6.405308134155348,2.0889301069601083,0.021704122,-3.1794991105480075
51,5.249,-46.16867469775025,-6.405308134155348,2.631213254172692,0.20066327,-3.1775900694121764
52,5.351,-46.16867469775025,-6.405308134155348,6.923029715250709,0.37016848,-3.1505919202789268
53,5.453,-46.16867469775025,-6.405308134155348,5.442384127399062,0.33927673,-3.1208668687223606
54,5.555,-46.16867469775025,-6.405308134155348,3.834758310039158,0.4713656,-3.0848694528999774
55,5.658,-46.16867469775025,-6.405308134155348,2.5086922875650397,0.34673336,-3.061143796114217
56,5.766,-46.16867469775025,-6.405308134155348,2.320424706123731,0.27323228,-3.02869166760141
57,5.866,-46.16867469775025,-6.405308134155348,2.6584646727989822,0.31797206,-3.0098747493368836
58,5.969,-46.16867469775025,-6.405308134155348,1.9976895292336652,0.06963961,-2.9779680362153247
59,6.072,-46.16867469775025,-6.405308134155348,2.1896892068757436,0.33075485,-2.946061323093766
60,6.18,-52.5173238517018,-14.634014961542562,4.1719926220011185,0.21890539,-2.923699117519664
61,6.283,-52.5173238517018,-14.634014961542562,4.07558499852699,0.15272778,-2.894519481354346
62,6.383,-52.5173238517018,-14.634014961542562,1.4911708044072443,0.29453692,-2.875429942660658
63,6.486,-52.5173238517018,-14.634014961542562,1.743882305638393,0.12822743,-2.8566131989290566
64,6.587,-52.5173238517018,-14.634014961542562,3.894488479105845,0.15698871,-2.8238882754541628
65,6.69,-52.5173238517018,-14.634014961542562,1.9550543494916888,0.26257995,-2.7957992955384166
66,6.795,-52.5173238517018,-14.634014961542562,0.47229904997562194,0.11224893,-2.770710187540998
67,6.898,-52.5173238517018,-14.634014961542562,3.2351183768444156,0.27216703,-2.773164469535153
68,7.001,-52.5173238517018,-14.634014961542562,4.034295317536077,0.14527115,-2.748893571891069
69,7.11,-57.6176828116877,-24.34716264763847,1.5718072821110258,0.26257995,-2.7265315408498916
70,7.21,-57.6176828116877,-24.34716264763847,2.958867517352607,0.0952052,-2.712077945715351
71,7.31,-57.6176828116877,-24.34716264763847,5.537191029553319,-0.04540556,-2.6869888377179327
72,7.412,-57.6176828116877,-24.34716264763847,4.3880146379314695,0.18575001,-2.6681720939863314
73,7.516,-57.6176828116877,-24.34716264763847,4.76383392812002,0.44260433,-2.6425375705976646
74,7.62,-57.6176828116877,-24.34716264763847,11.8928247136723,0.541671,-2.6283567704252104
75,7.72,-57.6176828116877,-24.34716264763847,6.300451221144959,-0.32662708,-2.6070855701665296
76,7.822,-57.6176828116877,-24.34716264763847,6.34341886821189,-0.08375394,-2.5890868622553382
77,7.931,-57.6176828116877,-24.34716264763847,4.531036001897978,0.3030588,-2.570269943990812
78,8.039,-57.6176828116877,-24.34716264763847,2.3296228632397438,0.1953371,-2.5389086462605013
79,8.136,-60.682256883825175,-34.62033703294583,0.7191767775604142,0.21251398,-2.532909076956771
80,8.238,-60.682256883825175,-34.62033703294583,0.9763876678947072,0.10266183,-2.5040020612206146
81,8.336,-60.682256883825175,-34.62033703294583,2.2717702585877486,0.21038352,-2.4930937533956503
82,8.437,-60.682256883825175,-34.62033703294583,4.167855405573897,0.25299284,-2.468277440360318
83,8.538,-60.682256883825175,-34.62033703294583,3.769079037380955,0.21997061,-2.452460219481195
84,8.638,-60.682256883825175,-34.62033703294583,2.0182105479239127,0.18361954,-2.4355525168854246
85,8.746,-60.682256883825175,-34.62033703294583,1.3934508633994487,-0.04540556,-2.428734737228359
