,x,y,yaw,vx,vy
190,364.34296075452784,314.7575408388183,0.6399450036876992,31.508782399002,35.60200221875639
191,367.503838994428,318.3277410606939,0.6430001939725717,31.571435534434634,35.79175039058113
192,370.67098254787146,321.916916099752,0.6461133512783147,31.729317677931228,36.058685610871756
193,373.85391431566455,325.5327846608391,0.6503630486778804,31.835414053921447,36.28411971540471
194,377.0474557210567,329.1711966323796,0.6529972777619153,32.37107315120467,36.82054584467099
195,380.2945630361771,332.86325121684666,0.6563063725042997,32.656738187829646,37.18027392882608
196,383.57023685496006,336.5912786097293,0.6606955032850631,32.86612508807852,37.49020793566341
197,386.8668493637679,340.3502994032956,0.6638607501591883,32.89160978940032,37.66159835207769
198,390.166010342708,344.12645923850334,0.6671347848278171,32.99066558423008,37.87835011733578
199,393.475076901131,347.9242942502369,0.670238802605657,32.9582977118486,38.0012509147569
200,396.78090667231584,351.7344193417126,0.6732450086734368,33.02663709522526,38.19319148486848
201,400.09357038183833,355.56373849019946,0.6762440214573864,33.03090693325885,38.328600542086015
202,403.4066610751642,359.40659854440804,0.679274168323313,33.08832663025798,38.530864163022336
203,406.72549373819,363.26968496071026,0.6824481064617074,33.15090886389287,38.72593888819342
204,410.05058462457924,367.1522788495296,0.6862462170502535,33.26425296327179,38.96438175837033
205,413.3870099209064,371.0587170253666,0.6893065488105153,33.491374384770346,39.2809469676608
206,416.74614735938343,374.9968117221327,0.6922325163578862,33.4496255927027,39.38791891016587
207,420.10110991865366,378.9456036131493,0.6954636231157142,33.39991826681237,39.489352852019714
208,423.4511017453349,382.90453889835123,0.69868613890467,33.540880523903425,39.75725626590091
209,426.8151897977252,386.8902645249413,0.7022592451038675,33.64346338083055,39.979325039757136
210,430.1895361358083,390.898197028917,0.7053514045728472,33.831169556003324,40.269677192245425
211,433.5826530914086,394.9351647481416,0.7083017614255714,34.227944994827475,40.740825969978005
212,437.0154475908913,399.0192473451394,0.7120093054717014,34.303000135415424,40.95082273453002
213,440.4557476044329,403.12432961859236,0.7153790629654341,34.48709862570806,41.257115151637066
214,443.9144574670037,407.26004113375603,0.7184943356819301,34.477435997325344,41.378135898403
215,447.3722010667362,411.4078547235963,0.7218582230533295,34.41054517944253,41.49012008533101
216,450.82325558468045,415.56686673212937,0.7249919341476497,34.492499472662125,41.702769613153045
217,454.28250553194664,419.7471436934447,0.7286131284980284,34.49515245531627,41.84517945871518
218,457.7420207774783,423.9416616393162,0.7323270508665257,34.573072713283516,42.03367995111297
219,461.20932804880664,428.1550296344275,0.7357410648236432,34.54458919848638,42.163018085850695
220,464.6737869686553,432.3813314430125,0.7392371242157766,34.75125370140957,42.474617289705996
221,468.15891233879626,436.63879317198314,0.7426767911349423,34.82381179731385,42.68868191429988
222,471.6512935185276,440.9176613634131,0.7459454195018305,35.0113441204499,43.0041972020576
223,475.16242793057256,445.22808108361886,0.7492459703986594,35.09198337763196,43.22229732886974
224,478.6816262683358,449.5603108165058,0.752547956084012,35.25217641635429,43.51606178257349
225,482.2168439099712,453.92191699476314,0.7559726916295514,35.3355969863506,43.7348215823918
226,485.7604036086063,458.3053991530023,0.7596015364807891,35.33502967425889,43.87021292357816
227,489.30390657603215,462.70242044536013,0.7626870932444901,35.43811485526039,44.10518354715157
228,492.85771806155816,467.1229388000753,0.7665127904893898,35.51260554749214,44.33363603926726
229,496.41897861630736,471.56630240400204,0.7694377316005558,35.585896910024495,44.529784834544664
230,499.9875683073098,476.0292808874565,0.7722845467514985,35.68085498266645,44.76460577973005
231,503.56565380557646,480.51574146542947,0.7756978680465348,35.851283274772186,45.07999079741362
232,507.16078213305366,485.0337405451708,0.7792360771236135,36.08710214660097,45.460186657153336
233,510.77949234771376,489.58975921088614,0.7835143394929172,36.11912387073975,45.65093053061104
234,514.4014047347878,494.16485226394724,0.7868992333791197,36.10511593173671,45.79184409981666
235,518.0219163279614,498.7540366739289,0.7905496337455982,36.217632318441,46.06122845357434
236,521.6536795598055,503.37015951928635,0.7943679156506741,36.21605614723373,46.206310484164156
237,525.2852851745289,508.0007905677028,0.79735180948533,36.26058236308386,46.39684036527208
238,528.9213434108373,512.65047460423,0.800840165748316,36.250307404092176,46.53083516036073
239,532.5563741512465,517.3135581202661,0.8039438951484531,36.27704981391185,46.716747478639654
240,536.1940791326376,521.9952328681301,0.807533633936243,36.36779340176931,46.95292440227788
241,539.8408584728146,526.7005253083579,0.8115112369125402,36.36189834839728,47.102276343742815
242,543.4870483076543,531.4207529427322,0.8150251216447326,36.41228284722409,47.298382005404044
