,time,GPSx,GPSy,a,omega,yaw
1,0.107,0.0,0.0,1.072743280388295,0.01065233,-3.2877639784443184
2,0.205,0.0,0.0,0.9718142409050822,0.004260932,-3.2877639784443184
3,0.309,0.0,0.0,1.1098466702915541,0.036217924,-3.2877639784443184
4,0.411,0.0,0.0,1.1163602630714407,-0.0,-3.290218260438473
5,0.521,0.0,0.0,0.6425926078138947,-0.06497922,-3.2904910554005595
6,0.621,0.0,0.0,0.7309015528111055,-0.006391398,-3.2899456400093112
7,0.721,0.0,0.0,0.8329952936595331,-0.005326165,-3.2850369014880774
8,0.83,0.0,0.0,0.6049449807849004,0.003195699,-3.298399665840121
9,0.933,0.0,0.0,1.5831723654650653,0.017043728,-3.3136712967950714
10,1.036,38.7592155802995,-6.133056784281507,2.573491724144519,0.08628388,-3.3349423225208277
11,1.135,38.7592155802995,-6.133056784281507,1.2230961812757206,0.037283156,-3.317761824962971
12,1.239,38.7592155802995,-6.133056784281507,1.6867800420819548,0.0969362,-3.3071263121000927
13,1.344,39.227346220985055,-7.1569507187232375,0.805176261013161,0.08415341,-3.3011265682634376
14,1.447,39.227346220985055,-7.1569507187232375,2.1590971028883033,0.1033276,-3.308489763311751
15,1.554,39.227346220985055,-7.1569507187232375,0.7791387086570427,0.098001435,-3.310126009485496
16,1.658,39.227346220985055,-7.1569507187232375,0.7957654702107331,-0.004260932,-3.314762127577568
17,1.759,39.227346220985055,-7.1569507187232375,0.8107679465505501,-0.005326165,-3.3234887738375396
18,1.864,39.227346220985055,-7.1569507187232375,1.7080409272755772,0.11504517,-3.322125148092957
19,1.967,39.227346220985055,-7.1569507187232375,0.5704193828784421,0.14061075,-3.309853214523409
20,2.072,39.227346220985055,-7.1569507187232375,0.6431074650462093,0.08415341,-3.3068535171380065
21,2.169,39.227346220985055,-7.1569507187232375,2.5903099599768686,-0.0,-3.2981268708780345
22,2.274,39.227346220985055,-7.1569507187232375,0.9578637239250695,0.098001435,-3.3087623837409126
23,2.382,41.81040436960757,-9.20817435788922,2.59870046509967,0.092675276,-3.302762988970107
24,2.484,41.81040436960757,-9.20817435788922,0.6131188102031643,0.14380646,-3.294036342710135
25,2.584,41.81040436960757,-9.20817435788922,0.9919700074118671,0.111849464,-3.2962180042751283
26,2.687,41.81040436960757,-9.20817435788922,0.6680897482535427,0.036217924,-3.2959452093130417
27,2.791,41.81040436960757,-9.20817435788922,1.4732635180851053,0.16404589,-3.2989449066984444
28,2.894,41.81040436960757,-9.20817435788922,1.8634190499148064,0.098001435,-3.299217701660531
29,3.003,41.81040436960757,-9.20817435788922,2.066251813009088,-0.0074566314,-3.2962180042751283
30,3.108,41.81040436960757,-9.20817435788922,1.543834559826927,0.03195699,-3.298399665840121
31,3.203,41.81040436960757,-9.20817435788922,0.4020200491355938,0.08095771,-3.2975814554867866
32,3.31,47.370150700211525,-10.417605976806954,0.6624232125145011,0.04580502,-3.310398804447582
33,3.414,47.370150700211525,-10.417605976806954,1.1014404137620462,-0.07350108,-3.300581327405114
34,3.517,47.370150700211525,-10.417605976806954,1.2750153072718,-0.002130466,-3.30576268635551
35,3.625,47.370150700211525,-10.417605976806954,1.6350874742242631,0.03515269,-3.3087623837409126
36,3.725,47.370150700211525,-10.417605976806954,0.7488392713746562,-0.030891757,-3.32185235313087
37,3.827,47.370150700211525,-10.417605976806954,0.6655876945183975,-0.0074566314,-3.276583050190192
38,3.934,47.370150700211525,-10.417605976806954,0.9293599231498856,-0.014913263,-3.282582444960998
39,4.035,47.370150700211525,-10.417605976806954,1.7506774575535353,0.038348388,-3.28640052723266
40,4.14,47.370150700211525,-10.417605976806954,0.9979788706054588,0.020239428,-3.2959452093130417
41,4.236,47.370150700211525,-10.417605976806954,0.8019261922501847,-0.0074566314,-3.3016721581876105
42,4.344,53.150062987580895,-10.98223644029349,1.1057610094643395,-0.061783515,-3.2724923474893677
43,4.445,53.150062987580895,-10.98223644029349,2.990451025794504,0.054326884,-3.2694924755710404
44,4.55,53.150062987580895,-10.98223644029349,1.3846861550669756,0.060718283,-3.2888548092268146
45,4.654,53.150062987580895,-10.98223644029349,0.6461274281513508,0.044739787,-3.3011265682634376
46,4.755,53.150062987580895,-10.98223644029349,1.7937777454428707,-0.03515269,-3.301399363225524
47,4.859,53.150062987580895,-10.98223644029349,0.6567909134417832,0.026630826,-3.3049446505351
48,4.961,53.150062987580895,-10.98223644029349,0.8550090858146584,0.028761292,-3.3046718555730132
49,5.062,53.150062987580895,-10.98223644029349,1.2312249802339292,0.044739787,-3.312853086441737
50,5.165,53.150062987580895,-10.98223644029349,1.8652470871869518,0.009587097,-3.317761824962971
51,5.265,53.150062987580895,-10.98223644029349,1.1795010254224538,-0.001065233,-3.322125148092957
52,5.373,59.22908962704241,-11.517089219996706,1.3795594326721847,0.014913263,-3.3073989325292543
53,5.488,59.22908962704241,-11.517089219996706,1.4388704333722193,0.07776201,-3.308489763311751
54,5.586,59.22908962704241,-11.517089219996706,1.476326412722622,-0.018108962,-3.3095805940942475
55,5.685,59.22908962704241,-11.517089219996706,1.5311769541731781,-0.0,-3.3172164095717225
56,5.788,59.22908962704241,-11.517089219996706,1.4769529776201977,-0.009587097,-3.3114896352300787
57,5.888,59.22908962704241,-11.517089219996706,1.4562850228456152,0.023435127,-3.324852225049198
58,5.991,59.22908962704241,-11.517089219996706,1.5385643499692558,0.001065233,-3.2934907527859623
59,6.091,59.22908962704241,-11.517089219996706,2.6043531217683396,-0.019174194,-3.309307973665086
60,6.193,59.22908962704241,-11.517089219996706,0.46192398503144383,0.036217924,-3.312580466012575
61,6.305,65.13798802904785,-12.307342771673575,2.526982239020108,-0.002130466,-3.313943917224233
62,6.397,65.13798802904785,-12.307342771673575,2.1901879973598968,-0.015978495,-3.30576268635551
63,6.501,65.13798802904785,-12.307342771673575,1.6331158696290506,0.030891757,-3.3024901940080205
64,6.603,65.13798802904785,-12.307342771673575,1.1344667638938546,0.06817491,-3.308489763311751
65,6.704,65.13798802904785,-12.307342771673575,1.052741211457947,0.111849464,-3.3142165376533947
66,6.805,65.13798802904785,-12.307342771673575,0.8450459093162503,-0.015978495,-3.3011265682634376
67,6.907,65.13798802904785,-12.307342771673575,1.0891104271626049,0.08628388,-3.321307112272547
68,7.011,65.13798802904785,-12.307342771673575,1.1371256275615087,0.022369893,-3.3352151174829143
69,7.127,65.13798802904785,-12.307342771673575,1.1244039505124106,0.07776201,-3.3215797327017085
70,7.229,65.13798802904785,-12.307342771673575,0.8905479924644403,-0.056457352,-3.3308517943529283
71,7.337,71.01908769831061,-13.060946862911806,2.6571897806008176,0.11504517,-3.324852225049198
72,7.432,71.01908769831061,-13.060946862911806,1.1006876902423002,0.111849464,-3.316943789142561
73,7.536,71.01908769831061,-13.060946862911806,1.6580173772552174,0.040478855,-3.3076715529584164
74,7.638,71.01908769831061,-13.060946862911806,0.6011404426491262,-0.13634983,-3.313398501832985
75,7.739,71.01908769831061,-13.060946862911806,0.5188719240977846,0.06391398,-3.2953997939217934
76,7.846,71.01908769831061,-13.060946862911806,0.5720578430906097,-0.0074566314,-3.3071263121000927
77,7.952,71.01908769831061,-13.060946862911806,1.0423712139318073,0.013848029,-3.3003085324430277
78,8.055,71.01908769831061,-13.060946862911806,0.9001480342475335,0.060718283,-3.313943917224233
79,8.164,71.01908769831061,-13.060946862911806,2.008781014386036,0.12463226,-3.2989449066984444
80,8.264,71.01908769831061,-13.060946862911806,1.7957303551445851,0.13528459,-3.312034876088402
81,8.378,77.39611674286425,-13.703457322902977,2.3658444815968234,-0.1161104,-3.3234887738375396
82,8.472,77.39611674286425,-13.703457322902977,2.754978531489674,-0.009587097,-3.310944045305906
83,8.577,77.39611674286425,-13.703457322902977,1.355314448468952,-0.051131185,-3.3071263121000927
84,8.676,77.39611674286425,-13.703457322902977,2.149014009681501,0.121436566,-3.310944045305906
85,8.781,77.39611674286425,-13.703457322902977,2.0471323114385958,-0.047935486,-3.313943917224233
86,8.892,77.39611674286425,-13.703457322902977,2.072233156445937,0.08202294,-3.3114896352300787
87,8.992,77.39611674286425,-13.703457322902977,1.0114166353354412,0.06284875,-3.317489030000884
88,9.092,77.39611674286425,-13.703457322902977,1.0885296121531765,-0.002130466,-3.317489030000884
89,9.191,77.39611674286425,-13.703457322902977,1.2853136306911832,0.026630826,-3.3180346199250574
90,9.295,84.38694177940488,-13.743542645592242,1.891347146776464,0.038348388,-3.324034014695863
91,9.394,84.38694177940488,-13.743542645592242,3.090680812608143,-0.2609821,-3.332760660955835
92,9.502,84.38694177940488,-13.743542645592242,3.4491093836000157,0.076696776,-3.3060354813175965
93,9.604,84.38694177940488,-13.743542645592242,1.2880280385680705,0.13848029,-3.3172164095717225
94,9.704,84.38694177940488,-13.743542645592242,3.5272480055125555,0.07030538,-3.3188526557454674
95,9.808,84.38694177940488,-13.743542645592242,1.352542443331994,0.052196417,-3.315580163397978
96,9.916,84.38694177940488,-13.743542645592242,1.470593372604432,-0.014913263,-3.3395784406129
97,10.023,84.38694177940488,-13.743542645592242,2.191464805524685,0.08095771,-3.336851363656659
98,10.122,84.38694177940488,-13.743542645592242,3.145322346245612,0.033022225,-3.3371239840858204
99,10.221,84.38694177940488,-13.743542645592242,1.4023302550696426,-0.009587097,-3.3379421944391554
100,10.324,90.91853176988661,-14.265797126106918,2.2932253753231255,0.08095771,-3.3343970816625044
101,10.425,90.91853176988661,-14.265797126106918,1.421921626224807,0.001065233,-3.335760532874162
102,10.53,90.91853176988661,-14.265797126106918,2.495578987567597,-0.054326884,-3.334669702091666
103,10.631,90.91853176988661,-14.265797126106918,1.6549518038896065,0.17576344,-3.332760660955835
104,10.735,90.91853176988661,-14.265797126106918,2.4689450727811444,0.08095771,-3.331124589315015
105,10.842,90.91853176988661,-14.265797126106918,2.780944578580582,-0.043674555,-3.316670994180474
106,10.955,90.91853176988661,-14.265797126106918,1.5476744271500982,0.06391398,-3.3106714248767437
107,11.06,90.91853176988661,-14.265797126106918,0.8029808713718652,0.0117175635,-3.32021628149005
108,11.16,90.91853176988661,-14.265797126106918,1.2706704340577002,-0.01065233,-3.322125148092957
109,11.259,90.91853176988661,-14.265797126106918,1.6871664415275838,-0.08947957,-3.3243068096579496
110,11.362,96.7240188922733,-14.753692751284689,0.7016488521168274,-0.049000718,-3.3270338866141906
111,11.462,96.7240188922733,-14.753692751284689,1.9258455736983198,-0.033022225,-3.316670994180474
112,11.566,96.7240188922733,-14.753692751284689,2.464736277979478,-0.005326165,-3.3161255787892263
113,11.672,96.7240188922733,-14.753692751284689,2.725224651413493,0.141676,-3.322125148092957
114,11.775,96.7240188922733,-14.753692751284689,1.0964178870815278,0.08628388,-3.3341242867004177
115,11.879,96.7240188922733,-14.753692751284689,2.6982196871858495,0.32170036,-3.332215420097511
116,11.983,96.7240188922733,-14.753692751284689,1.5524850911073744,0.2226337,-3.3363059482654105
117,12.09,96.7240188922733,-14.753692751284689,4.195277985395394,0.105458066,-3.3333062508800078
118,12.19,96.7240188922733,-14.753692751284689,4.509929356945778,0.17576344,-3.3384876098304033
119,12.293,103.3123182952404,-15.409946707775816,4.119568731299595,0.17256775,-3.3316698301733383
120,12.394,103.3123182952404,-15.409946707775816,3.0228313514110354,0.002130466,-3.3316698301733383
121,12.501,103.3123182952404,-15.409946707775816,1.1078769412019847,0.1225018,-3.3305789993908417
122,12.599,103.3123182952404,-15.409946707775816,0.9780789380964793,0.22050324,-3.332760660955835
123,12.7,103.3123182952404,-15.409946707775816,1.730898984700737,0.1906767,-3.332488040526673
124,12.805,103.3123182952404,-15.409946707775816,2.2828426172354237,-0.12995844,-3.331124589315015
125,12.916,103.3123182952404,-15.409946707775816,2.914160343544152,0.040478855,-3.3335788713091694
126,13.02,103.3123182952404,-15.409946707775816,2.3644760525520256,0.08095771,-3.333851491738331
