timestamp,orientation.x,orientation.y,orientation.z,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z,GPS.lat,GPS.long,GPS.alt
1644645215842,188.375,-176.65625,-86.140625,9.65625,-72.76875,20.081251,-0.33940983,-0.10107297,0.48219314,-9.831789,0.87687635,-0.092775315,0.060718283,-0.018508423,-0.0035951615,13.85995313,100.51658751,-28.618133544921875
1644645215949,188.375,-176.65625,-86.140625,10.1625,-72.65625,22.125,0.11387062,0.2285791,0.38010627,-10.411784,0.20649989,-0.86370826,-0.01065233,0.04647079,0.024100898,13.85995313,100.51658751,-28.618133544921875
1644645216047,188.375,-176.65625,-86.140625,10.275001,-74.3625,21.73125,-0.10648537,-0.6971337,-0.83347356,-9.117719,0.25917232,0.63087213,-0.004260932,0.050731722,0.030492295,13.85995313,100.51658751,-28.618133544921875
1644645216151,188.375,-176.65625,-86.140625,9.6,-74.55,21.806252,0.7358599,0.21459576,0.5473387,-9.788693,-0.521936,-0.9792285,-0.036217924,0.009187635,0.026231363,13.85995313,100.51658751,-28.618133544921875
1644645216253,188.51562,-176.73438,-86.203125,10.200001,-75.80625,22.3125,-0.064146996,0.06700984,0.9486229,-8.839992,0.4985925,0.23822308,0.0,-0.09094427,0.013448567,13.85995313,100.51658751,-28.618133544921875
1644645216363,188.53125,-176.70312,-86.09375,9.618751,-75.24375,21.35625,-0.15547943,-0.60850865,1.0615432,-9.850943,0.05805939,-0.6386533,0.06497922,-0.04194355,-0.03768262,13.85995313,100.51658751,-28.618133544921875
1644645216463,188.5,-176.67188,-86.046875,9.39375,-76.70625,22.10625,0.2785101,-0.5268835,-0.4675092,-9.515755,-0.047285482,-0.66738373,0.006391398,-0.014247492,-0.03129122,13.85995313,100.51658751,-28.618133544921875
1644645216563,188.21875,-176.67188,-86.078125,10.21875,-76.856255,21.862501,-0.06623936,-0.4529171,-0.94921225,-9.093777,-0.33997664,-0.25558102,0.005326165,0.024100898,0.03155753,13.85995313,100.51658751,-28.618133544921875
1644645216672,188.98438,-177.39062,-86.75,8.90625,-76.125,20.79375,-0.19675922,-0.16787711,0.010984987,-9.276335,0.27353755,0.0796072,-0.003195699,0.0017310036,0.058188353,13.85995313,100.51658751,-28.618133544921875
1644645216775,189.85938,-178.21875,-87.546875,9.431251,-76.537506,20.38125,0.14699173,0.6665664,0.052578688,-10.095152,0.7715315,-1.352724,-0.017043728,-0.023834588,0.02197043,13.85995313,100.51658751,-28.618133544921875
1644645216878,191.07812,-179.34375,-87.25,9.6,-75.4875,18.28125,1.5155058,0.41339388,-1.3513209,-8.835203,0.29269117,-2.3636756,-0.08628388,-0.0067908606,-0.043008782,13.85989958,100.51693608,-21.0218505859375
