timestamp,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z,GPS.lat,GPS.long,GPS.alt
1644571428267,6.95625,8.868751,37.66875,-9.736021,-0.34476504,1.6035166,0.043408245,0.018242115,0.072169535,0.0,0.0,0.0
1644571428371,6.4687505,8.793751,37.18125,-9.362526,0.25438392,0.6404489,-0.28468353,0.025698747,-0.07057169,0.0,0.0,0.0
1644571428473,7.0125003,8.306251,34.912502,-9.53012,5.985504E-4,1.2533646,0.12649642,-0.10212921,0.015712187,0.0,0.0,0.0
1644571428579,7.18125,7.9500003,35.5125,-9.266758,0.034117375,1.4167689,0.010386022,-0.0030625449,-0.014114338,0.0,0.0,0.0
1644571428677,7.2187505,8.118751,36.956253,-9.578004,0.30226797,1.2437878,0.18082331,-0.07123746,-0.038614698,0.0,0.0,0.0
1644571428783,7.6312504,7.2562504,37.256252,-9.587581,0.27832595,1.5652094,0.12010502,0.039546777,-0.065245524,0.0,0.0,0.0
1644571428889,7.4062505,9.243751,35.25,-9.67856,0.3597288,1.6226702,0.35871723,0.043807708,-0.11424624,0.0,0.0,0.0
1644571428992,7.2562504,11.56875,34.256252,-9.764751,0.17298107,1.6370354,0.5792205,0.0661776,-0.16537742,0.0,0.0,0.0
1644571429099,7.1250005,12.76875,32.86875,-9.716867,0.1921347,1.5173253,0.83807206,0.06511237,-0.18774731,0.0,0.0,0.0
1644571429200,6.58125,15.337501,32.71875,-9.300277,0.05805939,1.4502877,1.0628363,0.024633514,-0.21970432,0.0,0.0,0.0
1644571429306,6.0937505,18.6375,30.35625,-9.257181,0.20649989,1.6466122,1.2886657,-0.07017223,-0.3294233,0.0,0.0,0.0
1644571429399,5.6625004,21.88125,26.6625,-9.64983,-0.16759412,2.010531,1.6200863,-0.14154284,-0.39120683,0.0,0.0,0.0
1644571429511,5.6625004,24.825,22.59375,-9.870096,-0.33997664,2.6192567,1.714892,-0.07762886,-0.3262276,0.0,0.0,0.0
1644571429617,4.2375,27.7875,18.9375,-9.759963,-0.30166942,2.8538885,1.7298052,0.032090146,-0.28787923,0.0,0.0,0.0
1644571429719,3.8437502,30.750002,13.06875,-8.926183,-0.33039984,2.6144683,1.7489794,0.072569,-0.3485975,0.0,0.0,0.0
1644571429826,2.2875001,31.050001,6.4500003,-9.117719,-0.60812724,2.8299465,1.6967831,-0.06058513,-0.42742476,0.0,0.0,0.0
1644571429935,0.84375006,32.625,-2.9250002,-9.645041,-0.90500826,3.1028855,1.4942557,-0.046737097,-0.5094477,0.0,0.0,0.0
1644571430039,-1.7625,31.968752,-8.25,-9.635465,-1.1444284,3.1555579,1.54552,0.20678836,-0.5286219,0.0,0.0,0.0
1644571430145,-2.7,29.812502,-12.731251,-9.386468,-0.9768343,2.6288335,1.669087,0.19294032,-0.39440253,0.0,0.0,0.0
