timestamp,orientation.x,orientation.y,orientation.z,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z,GPS.lat,GPS.long,GPS.alt
1644887481518,128.25,-11.84375,-78.046875,16.725,-53.662502,-26.7,-0.42943478,-0.096230716,0.24397723,-9.755175,0.30705637,1.1097125,0.07336792,-0.031690683,0.028361829,13.73617456,100.52922755,-32.71844482421875
1644887481621,128.25,-11.84375,-78.046875,16.95,-54.91875,-26.343752,0.62195206,0.22549903,-0.9273551,-9.281123,0.3453636,-0.85891986,0.0435414,0.023701435,-0.022769356,13.73617456,100.52922755,-32.71844482421875
1644887481725,128.25,-11.84375,-78.046875,18.09375,-55.781254,-25.66875,-0.15390587,-0.5266473,1.1736302,-9.472659,-0.32561144,0.6739678,0.10532492,-0.080691405,0.019839965,13.73617456,100.52922755,-32.71844482421875
1644887481827,149.09375,-2.671875,-87.3125,17.831251,-55.3875,-25.968752,0.43837738,0.12516536,0.15436624,-10.200497,-0.33518824,-0.3369839,0.041410934,0.016244804,0.0027962367,13.73617456,100.52922755,-32.71844482421875
1644887481928,148.4375,-3.5,-86.34375,18.09375,-55.687504,-25.875002,0.07235432,-0.36179549,-0.20874482,-9.376891,0.0676362,-0.74399817,0.090411656,-0.02423405,0.023035664,13.73617456,100.52922755,-32.71844482421875
1644887482031,152.40625,-1.265625,-88.40625,17.90625,-56.025,-25.368752,0.16803265,0.4310076,-1.0957897,-10.214862,0.23523031,0.093972415,0.026497671,0.04394086,0.0027962367,13.73617456,100.52922755,-32.71844482421875
1644887482134,152.90625,-1.3125,-88.34375,17.868752,-57.468754,-26.081251,0.15270615,0.83105874,-1.0108103,-10.104729,0.84814596,0.37708676,-0.025698747,0.055658426,-0.018508423,13.73617456,100.52922755,-32.71844482421875
1644887482243,152.04688,-0.40625,-89.375,17.6625,-57.2625,-25.44375,-0.5986147,1.1963718,-0.85211927,-9.855731,0.9828198,-0.7823054,-0.015046417,-0.032755915,-0.0014646954,13.73617456,100.52922755,-32.71844482421875
1644887482350,151.25,-1.703125,-88.25,17.8875,-57.05625,-26.2875,-0.7418661,-0.7217894,1.3237711,-9.645041,-0.6560113,0.88944596,0.07869409,-0.11264839,0.016644266,13.73617456,100.52922755,-32.71844482421875
1644887482454,150.32812,-2.921875,-86.953125,17.475,-55.687504,-26.212502,0.24896908,-0.120433174,-0.34042224,-9.472659,-0.48841715,0.25258827,-0.006524552,0.0077229394,-3.9946238E-4,13.73617456,100.52922755,-32.71844482421875
1644887482553,151.60938,-2.109375,-87.546875,18.0375,-56.737503,-25.612501,-0.01269722,-0.16895586,0.37673107,-8.96449,0.0724246,-0.44711718,0.06378083,-0.07003907,0.0027962367,13.73640099,100.52936918,-34.39862060546875
1644887482664,153.42188,-0.8125,-89.078125,17.4375,-57.35625,-25.44375,-0.44423008,-0.6456412,0.41066247,-9.587581,-0.17238252,-0.107140526,0.11384678,-0.05193011,-0.0057256273,13.73640099,100.52936918,-34.39862060546875
1644887482761,154.28125,-0.21875,-89.484375,17.550001,-57.693752,-25.593752,1.2462025,0.5465746,-0.78145444,-9.482236,-0.20111294,-1.6352397,0.006258244,0.052462727,-0.016377958,13.73640099,100.52936918,-34.39862060546875
1644887482868,155.25,0.3125,-89.5625,17.8875,-58.031254,-25.312502,0.025802612,-0.32908696,0.38086724,-9.5013895,0.10594343,-0.53330845,0.109585844,-0.057256274,-0.007856093,13.73640099,100.52936918,-34.39862060546875
1644887482972,154.95312,-0.25,-89.59375,17.7,-57.862503,-25.7625,-0.3106842,-0.09840244,0.5637321,-10.378265,-0.20590134,0.712275,0.0627156,-0.014646954,0.0059919357,13.73640099,100.52936918,-34.39862060546875
