timestamp,orientation.x,orientation.y,orientation.z,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z,GPS.lat,GPS.long,GPS.alt
1644885842091,96.640625,177.01562,-71.109375,13.2375,-18.75,-14.475,2.7670918,-1.1795367,2.249601,-7.225701,-2.8167782,-0.40880993,-0.25831902,0.07629731,-0.030492295,13.85837739,100.53417694,-26.20709228515625
1644885842192,94.40625,177.375,-71.265625,15.975,-17.0625,-14.137501,4.8555927,-2.0546665,2.1422515,-6.0758853,-4.4358573,-2.066196,-0.3520595,0.17323352,-0.06564499,13.85844869,100.53408015,-29.30755615234375
1644885842293,92.390625,177.78125,-71.828125,19.143751,-19.29375,-12.750001,5.2439,-3.780826,-0.8600249,-8.859145,-4.675876,-0.13108255,-0.12929265,0.48108587,-0.16151595,13.85844869,100.53408015,-29.30755615234375
1644885842394,90.375,177.875,-71.921875,19.556252,-17.56875,-10.181251,1.2433567,-1.7744409,3.3528838,-12.6060705,-0.10474633,-0.24121583,-0.02063889,0.27016973,-0.18069015,13.85844869,100.53408015,-29.30755615234375
1644885842497,88.515625,178.20312,-72.015625,19.893751,-17.625,-8.043751,3.170597,-7.0835924,3.3033485,-10.435727,-2.2798786,-0.9935937,0.37243208,0.30958334,-0.3404751,13.85844869,100.53408015,-29.30755615234375
1644885842602,86.09375,178.625,-71.3125,17.56875,-16.63125,-6.0375004,3.0070896,0.34910625,-1.8876595,-9.060258,-1.4514848,-2.6940753,-0.38188604,0.18495108,-0.05925359,13.85844869,100.53408015,-29.30755615234375
1644885842702,84.078125,179.17188,-71.28125,16.931252,-16.575,-6.5437503,-0.04716301,-1.038792,3.8807402,-10.277111,-1.963844,1.7663223,-0.0920095,0.2754959,-0.14447223,13.85844869,100.53408015,-29.30755615234375
1644885842807,82.125,179.42188,-70.9375,17.2875,-15.375001,-5.55,0.44264507,-2.2843366,2.8622448,-11.039065,-1.8106151,0.17058687,-0.13142313,0.107189074,-0.11358047,13.85844869,100.53408015,-29.30755615234375
1644885842907,79.265625,-179.96875,-70.984375,19.143751,-15.20625,-4.9500003,-0.70686245,0.08451867,1.8170754,-9.333796,-0.78529817,0.760159,-0.25938424,0.04327509,-0.013448567,13.85844869,100.53408015,-29.30755615234375
1644885843010,77.703125,-179.75,-70.9375,17.868752,-17.00625,-2.0625,1.1172915,-0.65485847,1.720831,-8.255806,-1.5568297,-0.24121583,-0.21038352,0.04220986,-0.023035664,13.85844869,100.53408015,-29.30755615234375
1644885843116,75.46875,-179.40625,-70.875,15.900001,-16.650002,-2.23125,1.880796,-1.6584105,4.2342095,-12.466608,-3.4105403,4.659715,-0.23168819,0.3916063,-0.12529804,13.85844869,100.53408015,-29.30755615234375
1644885843217,73.65625,-178.98438,-70.640625,18.150002,-16.725,-2.5125,5.1836166,-5.4919496,3.341729,-5.553351,-4.757279,0.050876785,0.07097115,0.2563217,-0.16258119,13.85848517,100.53399473,-28.082916259765625
1644885843318,71.53125,-178.59375,-70.28125,20.456251,-15.7875,-0.7875,2.2498436,-3.6940386,3.4511716,-9.836577,-2.6970682,1.1432313,-0.024899822,0.22010377,-0.16471165,13.85848517,100.53399473,-28.082916259765625
1644885843421,69.375,-178.17188,-70.3125,19.25625,-15.993751,2.9437501,5.215339,-2.2501287,3.958685,-3.9246953,1.0498575,-3.513491,0.13808084,-0.04087832,-0.17962492,13.85848517,100.53399473,-28.082916259765625
1644885843526,67.65625,-177.71875,-70.15625,16.237501,-15.618751,4.6125,3.4895544,1.1087081,-2.6806316,-7.2783732,0.30705637,-4.2413282,-0.2998631,0.24247366,-0.079493016,13.85848517,100.53399473,-28.082916259765625
1644885843623,65.78125,-177.48438,-69.859375,14.08125,-15.7875,3.7125,0.6831083,0.04703033,1.1968486,-10.315418,-1.6813282,-0.46148238,-0.32968962,0.15832026,-0.034753226,13.85848517,100.53399473,-28.082916259765625
1644885843732,63.90625,-176.95312,-69.734375,16.237501,-16.06875,3.43125,-0.29574776,-1.3631113,1.8882354,-10.00896,-1.9351135,1.7950528,-0.24447098,0.13488513,-0.054992653,13.85848517,100.53399473,-28.082916259765625
1644885843833,61.78125,-176.70312,-69.3125,13.593751,-16.425001,6.4875,-0.47205353,-1.2656932,1.3753033,-9.305065,-1.8106151,-1.3910311,-0.19746757,-0.06005251,-0.018774733,13.85848517,100.53399473,-28.082916259765625
1644885843942,59.796875,-176.40625,-69.4375,8.34375,-17.643751,7.9687505,-0.05074215,1.2658966,1.0672262,-9.467871,-0.16759412,-2.1051018,-0.25405806,-0.12822743,-0.0059919357,13.85848517,100.53399473,-28.082916259765625
1644885844051,58.25,-176.125,-69.203125,7.74375,-19.987501,3.0187502,-4.302185,-0.4547711,1.5426906,-10.981605,-3.4919431,1.3305776,-0.4287563,-0.18148908,0.11650986,13.85848517,100.53399473,-28.082916259765625
1644885844147,56.234375,-175.79688,-68.8125,10.6125,-20.6625,1.5562501,-3.8121166,4.122673,0.84120166,-12.337321,1.7872716,-0.801459,-0.39892977,-0.14101022,0.096270435,13.85848517,100.53399473,-28.082916259765625
1644885844246,54.78125,-175.46875,-68.640625,12.31875,-19.800001,1.125,-0.2642212,2.878217,0.64626586,-10.991181,0.53689975,-0.035314474,-0.4351477,0.029427063,-0.047536023,13.8584901,100.53390858,-27.519500732421875
1644885844346,52.6875,-175.0625,-68.609375,13.106251,-20.175001,0.0375,-3.2804317,-0.75002956,4.37374,-10.924144,-1.6382325,2.2786815,-0.17190199,-0.14633639,0.10692277,13.8584901,100.53390858,-27.519500732421875
1644885844447,51.640625,-174.85938,-68.328125,16.3125,-21.13125,-2.68125,0.5577965,-0.3183658,0.15265822,-9.827001,-0.5554548,-2.7419596,-0.17829338,0.077362545,-0.05712312,13.8584901,100.53390858,-27.519500732421875
1644885844550,49.453125,-174.46875,-68.171875,23.868752,-22.48125,-3.8625002,0.4844284,-2.076967,1.1360996,-9.4774475,-2.0308816,-0.31304187,-0.15592349,0.13275467,-0.100797676,13.8584901,100.53390858,-27.519500732421875
